,image,label
196,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img137.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img137.tif
198,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1372.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1372.tif
203,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1380.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1380.tif
205,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1382.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1382.tif
206,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1383.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1383.tif
207,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1384.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1384.tif
208,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1385.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1385.tif
211,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1391.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1391.tif
212,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1392.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1392.tif
213,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1393.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1393.tif
214,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1397.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1397.tif
217,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1402.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1402.tif
218,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1403.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1403.tif
219,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1404.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1404.tif
221,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1406.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1406.tif
222,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img141.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img141.tif
223,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1412.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1412.tif
224,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1413.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1413.tif
226,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1418.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1418.tif
227,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1419.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1419.tif
228,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1420.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1420.tif
229,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1423.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1423.tif
230,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img143.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img143.tif
232,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1437.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1437.tif
234,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1440.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1440.tif
235,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1442.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1442.tif
236,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1443.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1443.tif
238,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img146.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img146.tif
239,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1460.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1460.tif
240,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1463.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1463.tif
242,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1466.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1466.tif
244,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1469.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1469.tif
245,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1477.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1477.tif
246,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1478.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1478.tif
247,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img148.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img148.tif
248,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1480.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1480.tif
251,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1485.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1485.tif
252,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1486.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1486.tif
255,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1492.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1492.tif
